"ID" "group" "time." "ln.libsize" "ln.lib.size" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"1" 1 0 0 3.93182563272433 -0.150883218673178 3 6 2 6 8 6 4 2 9 5
"2" 1 0 0.5 4.30406509320417 0.0346786552638325 7 15 7 5 9 9 10 5 1 6
"3" 1 0 1 5.12989871492307 0.135555147085382 13 17 17 9 15 26 20 8 24 20
"4" 1 0 1.5 5.32300997913841 -0.293212212828669 23 61 17 20 11 23 9 9 24 8
"5" 1 0 2 5.75257263882563 0.0536405861013812 27 94 29 17 6 24 12 22 65 19
"6" 2 0 0 6.3578422665081 0.0632569865196967 25 63 104 17 52 97 14 35 151 19
"7" 2 0 0.5 6.74758652682932 -0.0718424950168311 40 199 111 81 52 93 29 86 85 76
"8" 2 0 1 7.1066061377273 -0.0683289819730234 70 310 137 69 73 56 154 149 113 89
"9" 2 0 1.5 7.23489842031483 -0.0705564998866604 66 126 73 122 273 170 104 87 270 96
"10" 2 0 2 8.09009578318096 -0.111254728630513 263 223 234 487 86 247 606 181 489 446
"11" 3 0 0 1.09861228866811 -0.0596490874691934 0 2 0 0 0 0 0 1 0 0
"12" 3 0 0.5 1.09861228866811 -0.124798305607463 0 1 0 0 1 0 0 0 1 0
"13" 3 0 1 2.30258509299405 -0.0970317368297487 0 1 1 2 0 1 1 0 3 1
"14" 3 0 1.5 2.63905732961526 0.00805735215953367 3 0 3 2 0 0 0 1 4 1
"15" 3 0 2 3.71357206670431 0.119936757371346 0 7 7 3 1 3 3 7 7 3
"16" 4 0 0 5.82600010738045 -0.0137856867988468 45 40 38 26 9 36 50 30 51 14
"17" 4 0 0.5 6.56385552653213 -0.0638761882258303 69 173 68 105 31 35 30 73 87 38
"18" 4 0 1 7.13009851012558 -0.113899427078726 80 275 158 63 57 107 52 84 322 51
"19" 4 0 1.5 7.40245152081824 -0.104646460033617 104 149 121 152 179 223 202 113 295 102
"20" 4 0 2 7.98344006300654 0.301979397311168 312 269 304 222 130 345 489 215 278 368
"21" 5 0 0 -Inf 0.0167610275190039 0 0 0 0 0 0 0 0 0 0
"22" 5 0 0.5 1.79175946922805 -0.0613357370863679 1 1 0 1 0 2 0 0 0 1
"23" 5 0 1 1.94591014905531 -0.0550684840441534 0 1 0 0 1 0 2 0 3 0
"24" 5 0 1.5 2.07944154167984 0.0574486801257317 0 3 2 1 0 2 0 0 0 0
"25" 5 0 2 2.19722457733622 -0.0867150308671844 0 2 1 1 2 1 0 1 1 0
"26" 6 1 0 5.96100533962327 -0.181025613798309 48 163 49 61 41 9 2 4 7 4
"27" 6 1 0.5 7.39203156751459 0.071844465112591 315 479 170 302 298 18 2 3 32 4
"28" 6 1 1 9.03741453682259 -0.127956965370485 627 3723 1535 1111 1300 11 12 21 57 15
"29" 6 1 1.5 10.403262340115 -0.00189228754552271 5711 5666 4717 15556 1222 14 32 11 26 12
"30" 6 1 2 12.3581626321583 -0.116993575146049 30123 52369 85566 29220 35376 76 15 27 45 36
"31" 7 1 0 10.4149629651436 0.137787193275033 2000 13226 5400 7244 4532 263 201 56 179 254
"32" 7 1 0.5 11.1171383734133 -0.0594491348586322 9234 26083 5788 12408 11638 608 507 203 330 516
"33" 7 1 1 12.8434190196958 -0.0886800046890633 75138 67065 86272 73224 70434 1756 780 503 1855 1264
"34" 7 1 1.5 14.3774390979971 -0.0626572575743452 122406 403248 376229 522875 325427 1010 478 788 999 592
"35" 7 1 2 16.3552438774107 -0.203636683634838 1011325 4396783 4723441 832362 1706303 1042 630 516 2044 1844
"36" 8 1 0 4.20469261939097 -0.145952407761773 9 29 8 4 5 2 1 4 5 0
"37" 8 1 0.5 6.2363695902037 -0.272504956118584 27 197 149 83 52 1 1 0 0 1
"38" 8 1 1 7.83161727635261 -0.167624149012504 347 942 409 294 507 5 2 4 7 2
"39" 8 1 1.5 9.87673281522731 -0.0367867323454642 1992 9087 5789 1493 1080 3 3 8 10 7
"40" 8 1 2 11.6064522372665 -0.0582371925507638 17105 34288 25572 28069 4718 11 14 10 14 3
"41" 9 1 0 3.63758615972639 0.181187033160891 5 13 6 3 5 2 1 0 2 1
"42" 9 1 0.5 4.60517018598809 -0.133580340459323 10 29 28 19 14 0 0 0 0 0
"43" 9 1 1 6.21860011969173 -0.106920579217188 60 135 177 53 73 2 0 0 0 2
"44" 9 1 1.5 8.905037290767 -0.0350778752446817 626 3519 1274 1043 900 1 2 2 1 1
"45" 9 1 2 10.0490154485011 -0.124292509536958 1853 6346 4104 4725 6091 4 0 5 3 2
"46" 10 1 0 4.53259949315326 -0.121064289734006 18 20 17 16 14 3 0 1 1 3
"47" 10 1 0.5 6.28785856016178 -0.138414774080221 24 323 82 63 37 3 1 2 1 2
"48" 10 1 1 7.62803112693033 -0.156498235704868 332 412 687 277 335 3 0 3 5 1
"49" 10 1 1.5 9.52412869151244 -0.0654785148734195 3283 5248 901 1198 3025 12 3 2 10 4
"50" 10 1 2 11.5193746243644 -0.0621062446583375 2131 41805 34142 10047 12480 11 11 7 5 8
